Country,Lat,Long,TotalCases,TotalDeaths,TotalRecovered
Mecklenburg-West Pomerania,53.77499008178711,12.57191276550293,618,11,None
Bremen,53.10858154296875,8.785833358764648,486,17,None
Ile-de-France,48.70927047729492,2.503371000289917,12108,3300,8313
Auvergne-Rhone-Alpes,45.51762771606445,4.542780876159668,2959,600,2125
Centre-Val de Loire,47.4847412109375,1.684380054473877,803,179,528
Normandy,48.8798713684082,0.17125290632247925,713,188,512
Brittany,48.17992401123047,-2.8515360355377197,603,121,431
Corsica,42.14823532104492,9.102701187133789,250,35,120
England,52.598876953125,-1.4668810367584229,62658,8937,None
Scotland,56.69036865234375,-4.044013977050781,5912,566,None
Wales,52.3250732421875,-3.799412965774536,5297,351,None
Northern Ireland,54.6116828918457,-6.685606956481934,1717,92,None
Hubei,30.973201751708984,112.276123046875,67803,3221,64338
Guangdong,23.202411651611328,113.38606262207031,1555,8,1454
Henan,33.8806037902832,113.6197280883789,1276,22,1253
Zhejiang,29.24720573425293,120.4427261352539,1267,1,1239
Hunan,27.607362747192383,111.71368408203125,1019,4,1014
Anhui,31.823558807373047,117.2315673828125,991,6,984
Jiangxi,27.611169815063477,115.72716522216797,937,1,936
Shandong,36.46870422363281,118.51712036132812,784,7,757
Jiangsu,32.981414794921875,119.51909637451172,653,None,638
Chongqing,30.054351806640625,107.87875366210938,579,6,570
Beijing,40.1861572265625,116.41898345947266,589,8,484
Sichuan,30.62508773803711,102.6972885131836,560,3,547
Heilongjiang,47.863731384277344,127.7736587524414,740,13,470
Shanghai,31.214889526367188,121.56464385986328,618,7,446
Fujian,26.029390335083008,118.13887786865234,352,1,325
Hebei,39.30455017089844,115.0048828125,327,6,313
Guangxi Zhuang,23.802974700927734,108.7943115234375,254,2,252
Shaanxi,35.19123458862305,108.87350463867188,256,3,248
Yunnan,24.972408294677734,101.48789978027344,184,2,174
Hainan,19.206546783447266,109.76858520507812,168,6,162
Tianjin,39.289215087890625,117.34939575195312,184,3,161
Guizhou,26.812213897705078,106.87832641601562,147,2,144
Gansu,38.05674362182617,101.9970703125,139,2,135
Shanxi,37.572113037109375,112.2950668334961,173,None,135
Liaoning,41.087890625,122.55006408691406,145,2,136
Jilin,43.668731689453125,126.1985092163086,99,1,96
Inner Mongolia,44.08891677856445,113.92173767089844,190,1,83
Xinjiang,41.11827850341797,85.19352722167969,76,3,73
Ningxia,37.26643753051758,106.16958618164062,75,None,75
Qinghai,35.66777801513672,96.04451751708984,18,None,18
Xizang,31.48952293395996,88.44466400146484,1,None,1
Esfahan,33.20906448364258,52.50852584838867,1979,None,None
Mazandaran,36.4277458190918,52.396976470947266,1700,None,None
Gilan,37.32320022583008,49.515655517578125,1191,None,None
Qom,34.703208923339844,50.954734802246094,1178,None,None
Alborz Province,35.47999954223633,50.58000183105469,1177,None,None
Markazi,34.618507385253906,49.94449996948242,882,None,None
Razavi Khorasan Province,36.29800033569336,59.6057014465332,858,None,None
East Azerbaijan,37.98799514770508,46.63505172729492,813,None,None
Yazd,31.883682250976562,54.67201232910156,725,None,None
Qazvin,36.11449432373047,49.78478240966797,669,None,None
Semnan,35.461666107177734,54.720584869384766,645,None,None
Fars,29.321508407592773,53.23346710205078,505,None,None
Lorestan,33.516475677490234,48.45833206176758,476,None,None
Khuzestan,31.458343505859375,48.984375,444,None,None
West Azerbaijan,37.69903564453125,45.294891357421875,395,None,None
Zanjan,36.5196418762207,48.37721633911133,394,None,None
Gorgan,37.28587341308594,55.00912094116211,391,None,None
Ardabil,38.44565963745117,48.07779312133789,289,None,None
Hamadan,34.91718292236328,48.574920654296875,243,None,None
Ilam,33.181724548339844,46.88372802734375,183,None,None
South Khorasan Province,32.865299224853516,59.216400146484375,178,None,None
Kermanshah,34.472843170166016,46.649574279785156,175,None,None
Kerman,29.67530632019043,57.281333923339844,169,None,None
North Khorasan Province,37.47610092163086,57.33169937133789,165,None,None
Hormozgan,26.97194480895996,56.18784713745117,148,None,None
Sistan va Baluchestan,27.929370880126953,60.67500686645508,134,None,None
Kohgiluyeh va Buyer Ahmad,30.820682525634766,50.74732971191406,73,None,None
Chahar Mahall va Bakhtiari,31.966796875,50.67448043823242,68,None,None
Turkey,39.055697,35.109188,56956,1198,3446
Belgium,50.64118576049805,4.660569190979004,30589,3903,6707
North Brabant,51.56118392944336,5.184960842132568,2426,None,None
South Holland,51.937232971191406,4.482398986816406,1217,None,None
North Holland,52.576866149902344,4.9242658615112305,1175,None,None
Limburg,51.20924377441406,5.933916091918945,943,None,None
Gelderland,52.06172180175781,5.939120769500732,926,None,None
Utrecht,52.09650802612305,5.173581123352051,716,None,None
Overijssel,52.444549560546875,6.441752910614014,443,None,None
Groningen,53.2180061340332,6.753626823425293,120,None,None
Zeeland,51.4700813293457,3.8594369888305664,108,None,None
Flevoland,52.55038833618164,5.51516580581665,105,None,None
Friesland,53.067413330078125,5.806518077850342,81,None,None
Drenthe,52.86248779296875,6.618471145629883,78,None,None
St Gallen,47.23045349121094,9.271923065185547,632,17,None
Appenzell Outer-Rhoden,47.34612274169922,9.34190845489502,77,3,None
Schaffhausen,47.72191619873047,8.564374923706055,53,1,None
Appenzell Inner-Rhoden,47.308013916015625,9.403356552124023,24,None,None
Aargau,47.409847259521484,8.1568603515625,822,17,None
Berne,46.822635650634766,7.624545097351074,1335,38,None
Basel-Country,47.45170211791992,7.702240943908691,711,21,None
Basel-Town,47.56489944458008,7.615266799926758,846,33,None
Fribourg,46.7085075378418,7.096611022949219,786,46,None
Geneva,46.2165641784668,6.130669116973877,4216,125,None
Glarus,46.98114776611328,9.065752029418945,67,2,None
Graubünden,46.65605545043945,9.62863540649414,680,35,None
Jura,47.35072326660156,7.156093120574951,179,None,None
Lucerne,47.067935943603516,8.110318183898926,542,9,None
Neuchâtel,46.995548248291016,6.780257225036621,516,34,None
Nidwalden,46.92680358886719,8.405315399169922,96,None,None
Obwalden,46.858184814453125,8.20887279510498,62,None,None
Solothurn,47.29596710205078,7.64973783493042,282,5,None
Schwyz,47.061832427978516,8.756656646728516,213,9,None
Thurgau,47.568660736083984,9.08985424041748,255,8,None
Ticino,46.29609680175781,8.80850601196289,2714,219,None
Uri,46.7719841003418,8.62869930267334,72,4,None
Vaud,46.559513092041016,6.6466851234436035,4315,185,None
Valais,46.20942687988281,7.6059417724609375,1525,73,None
Zug,47.15726852416992,8.537299156188965,165,3,None
Zurich,47.41294479370117,8.655049324035645,2898,62,None
Quebec,53.00788879394531,-70.9957275390625,12846,328,1341
Ontario,50.06875228881836,-85.828125,7049,274,2574
Alberta,55.16939926147461,-114.51105499267578,1651,44,823
British Columbia,54.56206512451172,-125.10440063476562,1445,58,879
Nova Scotia,45.60030746459961,-62.364051818847656,445,2,93
Saskatchewan,54.418582916259766,-105.88884735107422,296,4,136
Newfoundland and Labrador,52.19413375854492,-60.01300048828125,242,3,103
Manitoba,54.92839813232422,-97.43092346191406,226,4,92
New Brunswick,46.634185791015625,-66.07516479492188,114,None,60
Prince Edward Island,46.6192512512207,-63.135154724121094,25,None,17
Yukon Territory,63.62751388549805,-135.50845336914062,8,None,4
Northwest Territories,78.69540405273438,-110.53119659423828,5,None,1
Acre,-9.978580474853516,-67.81183624267578,77,2,None
Alagoas,-9.662039756774902,-35.73516082763672,48,3,None
Amapá,0.036410000175237656,-51.04829025268555,230,5,None
Amazonas,-3.122299909591675,-60.01462173461914,1206,62,None
Bahia,-12.972900390625,-38.50123977661133,673,21,None
Ceará,-3.7833199501037598,-38.58890151977539,1676,74,None
Federal District,-15.792110443115234,-47.89775085449219,614,14,None
Espírito Santo,-20.30677032470703,-40.30622863769531,383,9,None
Goiás,-16.690370559692383,-49.25838088989258,229,14,None
Maranhão,-2.5144999027252197,-44.30067825317383,398,24,None
Mato Grosso,-15.614919662475586,-56.093231201171875,123,3,None
Mato Grosso do Sul,-20.45149040222168,-54.616119384765625,101,2,None
Minas Gerais,-19.91864013671875,-43.935691833496094,806,20,None
Pará,-1.4393600225448608,-48.49768829345703,246,13,None
Paraiba,-7.130489826202393,-34.8673095703125,101,13,None
Paraná,-25.430479049682617,-49.28451156616211,738,30,None
Pernambuco,-8.085169792175293,-34.91463851928711,960,85,None
Piauí,-5.105179786682129,-42.80194854736328,44,7,None
Rio de Janeiro,-22.90880012512207,-43.196739196777344,2855,170,None
Rio Grande do Norte,-5.805920124053955,-35.210540771484375,302,15,None
Rio Grande do Sul,-30.03952980041504,-51.2169303894043,653,16,None
Rondônia,-8.761899948120117,-63.90618896484375,35,2,None
Roraima,2.8242499828338623,-60.65742111206055,79,3,None
Santa Catarina,-27.59984016418457,-48.54182052612305,768,24,None
São Paulo,-23.53396987915039,-46.628868103027344,8755,588,None
Sergipe,-10.910599708557129,-37.059898376464844,44,4,None
Tocantins,-10.280739784240723,-48.30535888671875,25,None,None
Moscow City,55.73832321166992,37.58697509765625,11513,82,837
Moscow,55.73832321166992,37.58697509765625,1855,19,75
St Petersburg City,60.24174880981445,29.6466007232666,678,4,78
Nizhniy Novgorod,56.312435150146484,44.61275863647461,224,4,20
Krasnodar,45.2642936706543,39.463539123535156,210,3,28
Komi-Permyak,59.88701248168945,54.217838287353516,208,3,1
Leningrad,60.24174880981445,29.6466007232666,155,None,3
Bryansk,52.90937042236328,33.423763275146484,142,None,3
Murmansk,67.8056869506836,34.57726287841797,128,1,10
Krasnoyarsk,67.10614013671875,96.10411834716797,110,None,8
Bashkortostan,54.27106475830078,56.52546691894531,107,1,7
Ryazan’,54.33396911621094,40.62774658203125,89,None,4
Ivanovo,56.989070892333984,41.556766510009766,86,None,7
Stavropol,44.953548431396484,43.345455169677734,86,2,10
Ul’yanovsk,53.8896598815918,47.94333267211914,86,None,2
Sverdlovsk,58.58711624145508,61.53037643432617,85,None,35
Tula,53.8883171081543,37.57665252685547,85,None,13
Dagestan,43.04049301147461,46.87063980102539,84,None,9
Tatarstan,55.352420806884766,50.9183464050293,84,None,14
Vladimir,56.01348876953125,40.67871856689453,84,1,1
Penza,53.18295669555664,44.63277053833008,84,1,1
Mari El,56.57602310180664,47.934879302978516,80,1,5
Rostov,47.74097442626953,41.31428527832031,78,None,5
Buryatia,53.556678771972656,109.50618743896484,77,1,17
Tver’,57.09389877319336,34.70888137817383,75,None,3
Kaliningrad,54.730159759521484,21.36839485168457,74,1,16
Lipetsk,52.6444206237793,39.15069580078125,69,None,10
Yamalo-Nenets,67.35639190673828,74.51708221435547,66,1,None
Chuvashia,55.489830017089844,47.08572006225586,65,None,2
Perm,59.11784744262695,56.22684860229492,60,3,15
Voronezh,50.97088623046875,40.2345085144043,60,None,12
Kursk,51.68038558959961,36.10568618774414,58,None,3
Mordovia,54.36267852783203,44.45332336425781,58,None,4
Khabarovsk,54.82127380371094,137.31729125976562,54,2,7
Tyumen’,57.683258056640625,69.13705444335938,53,None,9
Kirov,58.68157958984375,49.83342742919922,51,None,9
Kabardino-Balkaria,43.49317169189453,43.40700149536133,50,None,3
Chechnya,43.303646087646484,45.74232864379883,49,5,15
Tambov,52.68104934692383,41.58787155151367,48,None,6
Orenburg,51.99494934082031,55.62575149536133,45,1,5
Saratov,51.5784912109375,46.7989616394043,44,None,4
Volgograd,49.61606979370117,44.15281295776367,44,None,7
Vologda,59.96212387084961,40.51437759399414,43,None,None
Chelyabinsk,54.445953369140625,60.39499282836914,43,None,12
Khanty-Mansi,61.8575439453125,70.33740997314453,41,None,5
Novosibirsk,55.27640151977539,79.77018737792969,36,None,10
Irkutsk,57.09812545776367,106.367431640625,35,2,3
Severnaya Osetiya-Alaniya,43.092464447021484,44.26293182373047,34,1,1
Orel,52.78165817260742,36.48268508911133,34,None,3
Kaluga,54.37175369262695,35.446014404296875,34,None,5
Kalmykia,46.432884216308594,45.34711837768555,32,None,5
Belgorod,50.670745849609375,37.492820739746094,31,None,3
Altay Territory,52.60825729370117,82.610107421875,31,None,3
Arkhangel’sk,63.41975784301758,43.141151428222656,31,None,5
Astrakhan’,47.14700698852539,47.28673553466797,30,None,None
Ingushetia,43.179046630859375,44.88435363769531,29,1,None
Samara,53.27735137939453,50.462642669677734,29,None,14
Primorye,45.062801361083984,134.5845184326172,28,2,2
Yaroslavl’,57.86333084106445,39.147823333740234,27,None,3
Novgorod,58.30765151977539,32.49184036254883,26,None,4
Sakha,66.13040924072266,129.99075317382812,25,None,13
Smolensk,54.95677185058594,32.999969482421875,21,1,1
Pskov,57.237491607666016,29.237192153930664,21,2,6
Adygea,44.5984992980957,39.99440383911133,20,None,5
Omsk,56.109039306640625,73.3497085571289,20,None,5
Kostroma,58.45574188232422,43.790069580078125,18,2,3
Kemerovo,54.770225524902344,87.21575927734375,14,None,3
Zabaykalsky Krai,52.8466682434082,116.19995880126953,14,None,1
Udmurtia,57.16658020019531,52.79930114746094,13,None,3
Karachay-Cherkessia,43.771209716796875,41.75498580932617,13,None,None
Khakassia,53.39304733276367,89.89388275146484,12,None,3
Sakhalin,49.9923210144043,142.78070068359375,11,None,6
Kamchatka,58.931663513183594,163.0293731689453,10,None,None
Birobijan,48.517669677734375,132.2613067626953,9,None,None
Tomsk,58.464569091796875,82.1740951538086,8,None,3
Amur,53.4114990234375,127.72604370117188,6,None,1
Tuva,51.58550262451172,94.79573822021484,6,None,None
Kurgan,55.447715759277344,64.8087387084961,4,None,1
Karelia,63.55474090576172,33.14249801635742,3,None,None
Magadan,62.37319564819336,154.45745849609375,2,None,1
Porto,41.2247200012207,-8.352865219116211,9984,303,None
Coimbra,40.204437255859375,-8.33584976196289,2477,123,None
Faro,37.243709564208984,-8.131514549255371,284,9,None
Évora,38.603797912597656,-7.841619968414307,140,None,None
Lisbon,38.9898681640625,-9.162993431091309,3896,96,None
Azores,37.79633712768555,-25.481483459472656,94,4,None
Madeira Island,32.74650573730469,-16.998891830444336,59,None,None
Burgenland,47.54349136352539,16.522663116455078,260,6,120
Carinthia,46.773956298828125,13.917679786682129,382,5,219
Lower Austria,48.27218246459961,15.751656532287598,2284,62,1010
Upper Austria,48.13700485229492,13.96522045135498,2118,30,1381
Salzburg,47.38852310180664,13.084362983703613,1181,24,704
Styria,47.26913070678711,15.012020111083984,1524,76,512
Tyrol,47.249168395996094,11.30887508392334,3324,66,1901
Vorarlberg,47.23957824707031,9.896147727966309,843,7,607
Vienna,48.208431243896484,16.37783432006836,2029,74,533
Israel,31,35,11235,110,1689
Daegu,35.871437072753906,128.6014404296875,6819,147,5395
North Gyeongsang,36.49190139770508,128.88890075683594,1337,50,1020
Gyeonggi,37.266998291015625,126.99099731445312,631,13,305
Seoul,37.56653594970703,126.97796630859375,610,2,214
South Chungcheong,36.692649841308594,126.83396911621094,139,None,109
Busan,35.18026351928711,129.07110595703125,126,3,103
South Gyeongsang,35.460601806640625,128.21319580078125,115,None,84
Incheon,37.45625686645508,126.70520782470703,87,None,39
Gangwon,37.82279968261719,128.15550231933594,49,1,28
Sejong,36.487003326416016,127.28223419189453,46,None,22
North Chungcheong,36.79718780517578,127.7048568725586,45,None,31
Ulsan,35.53837585449219,129.3113555908203,41,1,33
Daejeon,36.33061599731445,127.37938690185547,39,None,23
Gwangju,35.1595458984375,126.85260009765625,27,None,19
North Jeolla,35.74428176879883,127.16630554199219,17,None,8
South Jeolla,34.86790084838867,126.99099731445312,15,None,6
Jeju,33.474979400634766,126.53069305419922,12,None,5
Blekinge County,56.283653259277344,15.189261436462402,41,1,None
Dalarna County,60.95997619628906,14.347683906555176,316,37,None
Gavleborg County,61.448875427246094,16.28935432434082,273,27,None
Gotland County,57.4876594543457,18.510887145996094,16,None,None
Halland County,56.964019775390625,12.8316011428833,182,15,None
Jamtland County,63.2577018737793,14.312129020690918,127,None,None
Jonkoping County,57.5330924987793,14.407835960388184,340,25,None
Kalmar County,57.25178527832031,16.051895141601562,68,4,None
Kronoberg County,56.79417419433594,14.571566581726074,97,1,None
Norrbotten County,66.95829772949219,20.08142852783203,134,7,None
Orebro County,59.35756301879883,14.971900939941406,316,5,None
Ostergotland County,58.36458969116211,15.667974472045898,951,34,None
Skane County,55.95225524902344,13.597061157226562,435,22,None
Sodermanland County,59.08375549316406,16.684810638427734,661,83,None
Stockholm County,59.470096588134766,18.127899169921875,4397,528,None
Uppsala County,60.04850387573242,17.57052993774414,449,30,None
Varmland County,59.77375411987305,13.152804374694824,75,1,None
Vasterbotten County,64.86712646484375,17.823942184448242,183,5,None
Vasternorrland County,63.103633880615234,17.252464294433594,100,8,None
Vastmanland County,59.7474250793457,16.163652420043945,304,16,None
Vastra Gotaland County,58.31084442138672,12.829959869384766,1018,50,None
Ireland,53.18498611450195,-8.146889686584473,9655,334,25
Maharashtra,19.45110321044922,76.1089096069336,1985,149,217
Delhi,28.642963409423828,77.11587524414062,1154,24,27
Tamil Nadu,11.01596736907959,78.41028594970703,1075,11,50
Rajasthan,26.58449363708496,73.84870147705078,812,3,21
Madhya Pradesh,23.5390567779541,78.2909164428711,604,43,44
Telangana,17.79990005493164,79.06562042236328,562,16,100
Gujarat,22.76759910583496,71.63636016845703,539,26,47
Uttar Pradesh,26.922319412231445,80.56755065917969,483,5,47
Andhra Pradesh,15.72052001953125,79.93771362304688,432,7,11
Kerala,10.447264671325684,76.40889739990234,376,3,179
Karnataka,14.70734691619873,76.16893768310547,247,6,59
Jammu and Kashmir (state),33.79664611816406,76.6590576171875,245,4,6
Haryana,29.196577072143555,76.34156036376953,185,3,29
Punjab,30.843242645263672,75.41748046875,167,11,14
West Bengal,23.839706420898438,87.9781265258789,152,7,29
Bihar,25.67882537841797,85.61241912841797,64,1,26
Orissa,20.510730743408203,84.42575073242188,54,1,12
Uttarakhand,30.15439796447754,79.20557403564453,35,None,5
Himachal Pradesh,31.923288345336914,77.25016021728516,32,1,13
Assam,26.354543685913086,92.83045959472656,31,1,None
Chhattisgarh,21.266508102416992,82.04279327392578,31,None,10
Chandigarh,30.726646423339844,76.78118896484375,21,None,7
Jharkhand,23.65636444091797,85.56361389160156,19,2,None
Ladakh,34.16999816894531,77.58000183105469,15,None,10
Andaman and Nicobar Islands,12.541158676147461,92.8179931640625,11,None,10
Goa,15.362579345703125,74.05429077148438,7,None,5
Puducherry,11.92003345489502,79.76946258544922,7,None,1
Manipur,24.73163604736328,93.88394165039062,2,None,1
Tripura,23.746522903442383,91.7401123046875,2,None,None
Arunachal Pradesh,28.129722595214844,94.35031127929688,1,None,None
Mizoram,23.307804107666016,92.82891845703125,1,None,None
Amazonas,-5.069178104400635,-78.05358123779297,10,None,None
Ancash,-9.407849311828613,-77.67020416259766,57,4,None
Apurimac,-14.02786636352539,-72.97538757324219,1,None,None
Arequipa,-15.839705467224121,-72.47805786132812,77,4,None
Ayacucho,-14.090712547302246,-74.08304595947266,7,None,None
Cajamarca,-6.428214073181152,-78.7457046508789,11,None,None
Callao,-11.817477226257324,-77.13166046142578,413,16,None
Cuzco,-13.188933372497559,-72.16889190673828,55,3,None
Huancavelica,-13.024182319641113,-75.00292205810547,7,1,None
Huanuco,-9.41701889038086,-76.03453826904297,9,None,None
Ica,-14.234583854675293,-75.5735855102539,34,2,None
Junín,-11.53742504119873,-74.88390350341797,42,1,None
La Libertad,-7.921417236328125,-78.36833953857422,96,6,None
Lambayeque,-6.351827144622803,-79.82333374023438,302,6,None
Lima,-11.786076545715332,-76.62689971923828,3704,82,None
Loreto,-4.122180938720703,-74.42684936523438,315,5,None
Madre de Dios,-11.981074333190918,-70.53466796875,3,None,None
Moquegua,-16.863262176513672,-70.84481048583984,3,None,None
Pasco,-10.398381233215332,-75.30245208740234,5,None,None
Piura,-5.132072925567627,-80.33482360839844,53,3,None
Puno,-14.989198684692383,-69.92375183105469,1,None,None
San Martin,-7.036935806274414,-76.7155990600586,15,1,None
Tacna,-17.6442813873291,-70.27753448486328,9,None,None
Tumbes,-3.8564260005950928,-80.54520416259766,27,4,None
Azuay,-3.024808883666992,-79.1418228149414,107,None,None
Bolívar,-1.5876359939575195,-79.10523986816406,27,None,None
Cañar,-2.5411770343780518,-79.01344299316406,64,None,None
Carchi,0.7680969834327698,-78.07440185546875,14,None,None
Chimborazo,-1.9289339780807495,-78.72916412353516,51,None,None
Cotopaxi,-0.8575220108032227,-78.85693359375,28,None,None
El Oro,-3.5101170539855957,-79.83248138427734,82,None,None
Esmeraldas,0.6908439993858337,-79.22489166259766,25,None,None
Galápagos,0.16408999264240265,-91.3423843383789,11,None,None
Guayas,-2.190342903137207,-79.9064712524414,3047,None,None
Imbabura,0.4080039858818054,-78.34770202636719,21,None,None
Loja,-4.090253829956055,-79.65636444091797,34,None,None
Los Ríos,-1.3435909748077393,-79.49098205566406,175,None,None
Manabí,-0.7528629899024963,-80.15050506591797,132,None,None
Morona Santiago,-2.5642120838165283,-78.00717163085938,17,None,None
Napo,-0.6570090055465698,-77.82215118408203,2,None,None
Orellana,-0.7842860221862793,-76.37452697753906,4,None,None
Pastaza,-1.717635989189148,-76.87869262695312,12,None,None
Pichincha,-0.10478899627923965,-78.5934066772461,440,None,None
Santa Elena,-2.139564037322998,-80.57785034179688,53,None,None
Santo Domingo de los Tsáchilas,-0.30639299750328064,-79.17741394042969,44,None,None
Sucumbíos,-0.014309000223875046,-76.58956909179688,33,None,None
Tungurahua,-1.2946419715881348,-78.5069808959961,22,None,None
Zamora Chinchipe,-4.171436786651611,-78.90403747558594,2,None,None
Tokyo,35.68992614746094,139.69175720214844,1914,19,57
Osaka,34.59174346923828,135.44764709472656,767,6,121
Kanagawa,35.37968063354492,139.39039611816406,465,6,44
